date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202025%2020:02:13%20GMT	https://www.vulcantunes.com/robots.txt		(from )
13:02:14	23282/23282	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2020:02:13%20GMT	https://www.vulcantunes.com/	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/index.html	(from )
13:02:16	27746/27746	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202023%2002:58:37%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet.css	(from https://www.vulcantunes.com/)
13:02:16	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2020:02:16%20GMT	http://www.vulcantunes.com/shop/	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index.html	(from https://www.vulcantunes.com/)
13:02:16	8920/8920	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202024%2016:46:32%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet_colors.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet_colors.css	(from https://www.vulcantunes.com/)
13:02:17	2439/2439	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202023%2002:58:37%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet_css_buttons.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/stylesheet_css_buttons.css	(from https://www.vulcantunes.com/)
13:02:17	773/773	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202023%2002:58:36%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/print_stylesheet.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/print_stylesheet.css	(from https://www.vulcantunes.com/)
13:02:18	89664/89664	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15e40%22	https://code.jquery.com/jquery-3.6.1.min.js	C:/My%20Web%20Sites/vulcantunes/code.jquery.com/jquery-3.6.1.min.js	(from https://www.vulcantunes.com/)
13:02:19	3045/3045	---M--	200	added ('OK')	application/javascript	date:Wed,%2006%20Sep%202023%2002:58:51%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/jscript/jscript_matchHeight-min.js	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/jscript/jscript_matchHeight-min.js	(from https://www.vulcantunes.com/)
13:02:19	6848/6848	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202023%2002:58:36%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/responsive.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/responsive.css	(from https://www.vulcantunes.com/)
13:02:20	24740/24740	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Sep%202023%2002:58:36%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/css/responsive_default.css	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/css/responsive_default.css	(from https://www.vulcantunes.com/)
13:02:21	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/vulcantunes/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.vulcantunes.com/)
13:02:23	0/0	---M-Z	302	error ('Found')	text/html	date:Fri,%2021%20Feb%202025%2020:02:22%20GMT	https://www.vulcantunes.com/shop/index.php?main_page=login	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index8bbc.php	(from https://www.vulcantunes.com/)
13:02:24	19556/19556	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2020:02:23%20GMT	https://www.vulcantunes.com/shop/index.php?main_page=cookie_usage	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index72b1.html	(from https://www.vulcantunes.com/)
13:02:24	8190/8190	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2020:02:24%20GMT	https://www.vulcantunes.com/shop/includes/templates/responsive_classic/images/logo.png	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/includes/templates/responsive_classic/images/logo.png	(from https://www.vulcantunes.com/)
13:02:24	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2020:02:25%20GMT	http://www.vulcantunes.com/shop/index.php?main_page=index&cPath=2	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index.c966b.delayed	(from https://www.vulcantunes.com/)
13:02:25	17259/17259	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2020:02:25%20GMT	https://www.vulcantunes.com/shop/index.php?main_page=index&cPath=2	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index966b.html	(from https://www.vulcantunes.com/)
13:02:26	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2020:02:26%20GMT	http://www.vulcantunes.com/shop/index.php?main_page=index&cPath=1	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index.e7f9a.delayed	(from https://www.vulcantunes.com/)
13:02:27	36802/36802	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2020:02:27%20GMT	https://www.vulcantunes.com/shop/index.php?main_page=index&cPath=1	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index7f9a.html	(from https://www.vulcantunes.com/)
13:02:27	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2020:02:28%20GMT	http://www.vulcantunes.com/shop/index.php?main_page=products_new	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index.100126.delayed	(from https://www.vulcantunes.com/)
13:02:28	33109/33109	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2020:02:28%20GMT	https://www.vulcantunes.com/shop/index.php?main_page=products_new	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index0126.html	(from https://www.vulcantunes.com/)
13:02:28	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2020:02:29%20GMT	http://www.vulcantunes.com/shop/index.php?main_page=products_all	C:/My%20Web%20Sites/vulcantunes/www.vulcantunes.com/shop/index.127a05.delayed	(from https://www.vulcantunes.com/)
